POINTID,LATITUDE,LATITUDE,DAY,PRECIPITATION,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,RADIATION,WINDSPEED
1064,11.77354011,46.80558304,19790404,0.57,17.44,8.56,12.98,18634.62,5
1064,11.77354011,46.80558304,19790405,0.89,17.85,8.33,13.11,15769.53,3.1
1064,11.77354011,46.80558304,19790406,0.57,15.37,6.41,10.9,17898.03,5.81
1064,11.77354011,46.80558304,19790407,1.43,13.26,4.21,8.74,14483.02,5.37
1064,11.77354011,46.80558304,19790408,0,16.16,2.93,9.56,22200.78,2.34
1064,11.77354011,46.80558304,19790409,0,16.29,2.82,9.54,22458.23,1.4
1064,11.77354011,46.80558304,19790410,0.03,17.07,4.09,10.6,22107.03,1.38
1064,11.77354011,46.80558304,19790411,0.41,18.5,8.22,13.36,18759.76,1.5
1064,11.77354011,46.80558304,19790412,2.52,15.17,8.39,11.78,11783.18,2.17
1064,11.77354011,46.80558304,19790413,0,17.61,6.68,12.11,21707.1,2.11
1064,11.77354011,46.80558304,19790414,0,18.17,6.21,12.17,22641.14,1.38
1064,11.77354011,46.80558304,19790415,0,18.24,6.73,12.49,21354.29,1.85
1064,11.77354011,46.80558304,19790416,0.74,17.32,11.72,14.52,13153.47,2.63
1064,11.77354011,46.80558304,19790417,11.4,14.13,10.79,12.47,9165.05,2.51
1064,11.77354011,46.80558304,19790418,10.04,13.48,9.53,11.53,9100.27,2.65
1064,11.77354011,46.80558304,19790419,0,12.92,7.32,10.14,11552.45,2.74
1064,11.77354011,46.80558304,19790420,0,12.52,6.43,9.47,15120.4,2.8
1064,11.77354011,46.80558304,19790421,0,15.2,4.44,9.83,21301.52,1.86
1064,11.77354011,46.80558304,19790422,0.01,15.83,4.12,9.95,22495.54,1.11
1064,11.77354011,46.80558304,19790423,0,18.09,4.41,11.24,24478.97,2.32
1064,11.77354011,46.80558304,19790424,2.71,19.77,10.68,15.23,18541.07,4.33
1064,11.77354011,46.80558304,19790425,1.34,17.77,9.83,13.8,18611.52,4.1
1064,11.77354011,46.80558304,19790426,0,18.06,8.64,13.35,21782.82,2.32
1064,11.77354011,46.80558304,19790427,0.07,16.77,7.37,12.09,19413.18,1.46
1064,11.77354011,46.80558304,19790428,3.74,16.42,5.37,10.88,20477.05,1.53
1064,11.77354011,46.80558304,19790429,3.51,15.89,6.52,11.21,19520.48,1.47
1064,11.77354011,46.80558304,19790430,0,18.49,4.71,11.62,25082.67,2.37
1064,11.77354011,46.80558304,19790501,0.02,19.25,9.13,14.2,21715.38,4.23
1064,11.77354011,46.80558304,19790502,0,21.43,11.55,16.5,23989.44,5.7
1064,11.77354011,46.80558304,19790503,1.41,25.52,10.92,18.21,27550.69,3.93
1064,11.77354011,46.80558304,19790504,0,23.22,8.03,15.63,28426.39,2.47
1064,11.77354011,46.80558304,19790505,0,22.6,7.3,14.91,29144.94,1.61
1064,11.77354011,46.80558304,19790506,9.73,22.03,8.34,15.16,22838.14,0.87
1064,11.77354011,46.80558304,19790507,6.83,19.36,9.26,14.28,18382.92,1.28
1064,11.77354011,46.80558304,19790508,0,20.98,8.04,14.51,24968.93,2.1
1064,11.77354011,46.80558304,19790509,0,18.76,7.78,13.26,24530.01,2.15
1064,11.77354011,46.80558304,19790510,0.15,19.64,11.28,15.47,20259.15,3.46
1064,11.77354011,46.80558304,19790511,0.1,20.83,12.43,16.63,21661.95,4.84
1064,11.77354011,46.80558304,19790512,0.07,20.57,10.57,15.58,21126.67,4.75
1064,11.77354011,46.80558304,19790513,0.1,19.2,12.78,16.01,16533.48,5.18
1064,11.77354011,46.80558304,19790514,0,20.75,11.11,15.92,21040.41,4.06
1064,11.77354011,46.80558304,19790515,0,20.81,9.22,15.01,25916.79,1.77
1064,11.77354011,46.80558304,19790516,0,22.17,8.86,15.52,25920.6,1.09
1064,11.77354011,46.80558304,19790517,0,23.52,10.17,16.84,26727.26,1.35
1064,11.77354011,46.80558304,19790518,0,23.86,9.91,16.89,27692.37,0.88
1064,11.77354011,46.80558304,19790519,0,25.86,11.49,18.69,28463.78,1.11
1064,11.77354011,46.80558304,19790520,0,27.69,12.66,20.18,28847.26,1.34
1064,11.77354011,46.80558304,19790521,0,23.85,12.84,18.35,26746.61,3.07
1064,11.77354011,46.80558304,19790522,0,24.23,10.28,17.27,29140.33,1.59
1064,11.77354011,46.80558304,19790523,0,26.34,11.37,18.85,29287.41,1.05
1064,11.77354011,46.80558304,19790524,0,26.74,12.6,19.67,28442.44,2.21
1064,11.77354011,46.80558304,19790525,0,26.98,14.19,20.62,28143.89,1.42
1064,11.77354011,46.80558304,19790526,0,26.37,13.85,20.09,28202.53,1.3
1064,11.77354011,46.80558304,19790527,0.1,27.41,13.89,20.65,25979.6,1.15
1064,11.77354011,46.80558304,19790528,0,30.1,16.02,23.05,30154.79,1.48
1064,11.77354011,46.80558304,19790529,0,27.9,15.79,21.84,28171.54,2.2
1064,11.77354011,46.80558304,19790530,0,26.21,14.06,20.13,27436.15,2.7
1064,11.77354011,46.80558304,19790531,0,26.34,12.39,19.39,29384.68,1.16
1064,11.77354011,46.80558304,19790601,0,28.77,14.03,21.41,30283.77,2.22
1064,11.77354011,46.80558304,19790602,0,28.3,16.35,22.31,26363.52,1.88
1064,11.77354011,46.80558304,19790603,0,28.09,16.21,22.12,28094.93,2.12
1064,11.77354011,46.80558304,19790604,0,28.12,16.72,22.42,25370.85,2.12
1064,11.77354011,46.80558304,19790605,1.1,27.61,15.67,21.64,26641.13,1.25
1064,11.77354011,46.80558304,19790606,0.43,27.73,14.83,21.28,26545.5,1.56
1064,11.77354011,46.80558304,19790607,2.66,25.67,14.44,20.07,21727.96,1.12
1064,11.77354011,46.80558304,19790608,0.31,25.93,17.38,21.63,21491.39,0.78
1064,11.77354011,46.80558304,19790609,0,26.73,15.72,21.22,25141.1,1.2
1064,11.77354011,46.80558304,19790610,0.13,28.61,15.29,21.93,26696.27,1.23
1064,11.77354011,46.80558304,19790611,0,29.81,16.9,23.34,28615.21,0.97
1064,11.77354011,46.80558304,19790612,0,30.49,18.21,24.34,28482.57,1.44
1064,11.77354011,46.80558304,19790613,0,31.63,18.75,25.17,24278.38,1.98
1064,11.77354011,46.80558304,19790614,0,32.39,21.3,26.83,25895.45,3.29
1064,11.77354011,46.80558304,19790615,1.41,28.1,20.76,24.43,18318.7,3.67
1064,11.77354011,46.80558304,19790616,3.45,27.18,18.16,22.68,21930.2,4.38
1064,11.77354011,46.80558304,19790617,3.72,22.81,13.79,18.28,21757.15,3.04
1064,11.77354011,46.80558304,19790618,0.27,23.9,12.18,18.01,25129.89,2.39
1064,11.77354011,46.80558304,19790619,4.05,22.95,13.6,18.27,23611.57,1.73
1064,11.77354011,46.80558304,19790620,5.47,22.76,13.45,18.12,20101.43,1.64
1064,11.77354011,46.80558304,19790621,0.72,23.47,14.38,18.9,22128.62,2.87
1064,11.77354011,46.80558304,19790622,0.21,26.87,14.26,20.55,27759.35,1.98
1064,11.77354011,46.80558304,19790623,0.4,26.68,16.7,21.68,23631.29,1.91
1064,11.77354011,46.80558304,19790624,0,27.46,15.27,21.36,28316.23,1.75
1064,11.77354011,46.80558304,19790625,0,29.45,16.39,22.93,28921.39,0.96
1064,11.77354011,46.80558304,19790626,0,29.51,18.4,23.95,26088.4,1.32
1064,11.77354011,46.80558304,19790627,0.19,29.9,18.28,24.11,26044.75,1.19
1064,11.77354011,46.80558304,19790628,0.37,29.36,17.73,23.55,26089.16,0.83
1064,11.77354011,46.80558304,19790629,0.85,29.84,19.33,24.6,25509.66,2.04
1064,11.77354011,46.80558304,19790630,0.56,30.23,18.26,24.24,26487.56,1.59
1064,11.77354011,46.80558304,19790701,0.14,29.58,19.48,24.56,23746.05,1.53
1064,11.77354011,46.80558304,19790702,4.39,29.29,19.02,24.16,22883.03,1.25
1064,11.77354011,46.80558304,19790703,0.28,26.59,19.19,22.86,16626.54,2.21
1064,11.77354011,46.80558304,19790704,2,25.38,18.42,21.9,18500.83,2.75
1064,11.77354011,46.80558304,19790705,0,24.79,17.07,20.93,23602.46,3.39
1064,11.77354011,46.80558304,19790706,0,24.88,15.78,20.33,24335.36,2.97
1064,11.77354011,46.80558304,19790707,0,27.06,14.83,20.95,27413.86,2.31
1064,11.77354011,46.80558304,19790708,1.06,29.93,15.77,22.85,26993.66,3.6
1064,11.77354011,46.80558304,19790709,0,25.32,15.35,20.32,26096.74,3.46
1064,11.77354011,46.80558304,19790710,0,28.91,14.12,21.49,29121.43,1.77
1064,11.77354011,46.80558304,19790711,0,28.14,17.71,22.92,25506.19,1.58
1064,11.77354011,46.80558304,19790712,0,30.81,18.36,24.56,26746.58,1.89
1064,11.77354011,46.80558304,19790713,0,32.81,20.66,26.77,27082.11,3.14
1064,11.77354011,46.80558304,19790714,0.04,29.91,20.24,25.11,23225.07,2.66
1064,11.77354011,46.80558304,19790715,0,28.44,18.8,23.64,25885.78,3.27
1064,11.77354011,46.80558304,19790716,0,29.38,17.39,23.4,26589.74,2.48
1064,11.77354011,46.80558304,19790717,1.59,28.74,17.8,23.25,22375.76,1.52
1064,11.77354011,46.80558304,19790718,0,28.36,17.56,22.96,24692.27,2.48
1064,11.77354011,46.80558304,19790719,0,31.89,16.74,24.32,25712.01,1.92
1064,11.77354011,46.80558304,19790720,0,33.01,19.06,26.05,25768.58,1.56
1064,11.77354011,46.80558304,19790721,0,32.83,21.44,27.14,26093.59,2.63
1064,11.77354011,46.80558304,19790722,0,31.34,19.89,25.61,25228.87,2.1
1064,11.77354011,46.80558304,19790723,0.32,29.32,19.68,24.48,23293.17,3.46
1064,11.77354011,46.80558304,19790724,0,26.47,17.94,22.17,24313.6,4.2
1064,11.77354011,46.80558304,19790725,0,28.03,16.12,22.09,26435.19,2.15
1064,11.77354011,46.80558304,19790726,0,29.7,16.57,23.14,26921.04,1.53
1064,11.77354011,46.80558304,19790727,0,29.9,17.55,23.75,25644.65,1.44
1064,11.77354011,46.80558304,19790728,0,30.09,19.29,24.7,24826.92,2.19
1064,11.77354011,46.80558304,19790729,0,29.86,17.44,23.65,25775.12,1.24
1064,11.77354011,46.80558304,19790730,0,35.28,20.15,27.73,27264.45,1.89
1064,11.77354011,46.80558304,19790731,0,34.61,21.25,27.94,25632.24,1.84
1064,11.77354011,46.80558304,19790801,0,33.91,20.77,27.32,27095.22,1.92
1064,11.77354011,46.80558304,19790802,0,32.19,20.15,26.18,25422.26,1.82
1064,11.77354011,46.80558304,19790803,0.04,32.63,21.42,27.03,24436.08,1.2
1064,11.77354011,46.80558304,19790804,0.39,35.28,21.47,28.38,26910.51,1.6
1064,11.77354011,46.80558304,19790805,0,32.52,21.74,27.12,25100.7,2.96
1064,11.77354011,46.80558304,19790806,0,31.27,20.58,25.95,22340.23,2.21
1064,11.77354011,46.80558304,19790807,0,30.07,18.27,24.16,24503.77,1.73
1064,11.77354011,46.80558304,19790808,0,32.35,18.16,25.27,24524.53,1.65
1064,11.77354011,46.80558304,19790809,3.53,27.93,19.45,23.69,17254.2,2.22
1064,11.77354011,46.80558304,19790810,0.34,30.28,17.7,24.02,24293.08,2.25
1064,11.77354011,46.80558304,19790811,2.92,26.07,18.32,22.2,17289.64,3.94
1064,11.77354011,46.80558304,19790812,0,25.83,16.81,21.3,22153.43,4.82
1064,11.77354011,46.80558304,19790813,0,25.51,15.35,20.44,22908.6,3.28
1064,11.77354011,46.80558304,19790814,0,26.77,14.38,20.58,24266.33,2.77
1064,11.77354011,46.80558304,19790815,0,29.44,15.56,22.49,25873.69,1.84
1064,11.77354011,46.80558304,19790816,0,30.26,16.26,23.27,25722.39,1.4
1064,11.77354011,46.80558304,19790817,0.8,28.39,16.63,22.5,22659.37,1.63
1064,11.77354011,46.80558304,19790818,0.93,26.99,16.82,21.92,15438.66,1.99
1064,11.77354011,46.80558304,19790819,2.38,26.93,16.8,21.87,18460.69,2.76
1064,11.77354011,46.80558304,19790820,17.97,26.15,15.53,20.87,20187.19,1.41
1064,11.77354011,46.80558304,19790821,1.79,23.31,16.63,19.98,17762.01,2.49
1064,11.77354011,46.80558304,19790822,0,26.27,16.56,21.44,21407.34,2.98
1064,11.77354011,46.80558304,19790823,1.63,28.68,15.87,22.27,23046.59,0.87
1064,11.77354011,46.80558304,19790824,0.01,31,17.28,24.14,22424.34,1.81
1064,11.77354011,46.80558304,19790825,0,26.7,18.74,22.69,18177.25,2.74
1064,11.77354011,46.80558304,19790826,0.58,27.8,15.81,21.8,21778.06,2.66
1064,11.77354011,46.80558304,19790827,0.41,26.38,16.67,21.52,18804.14,1.56
1064,11.77354011,46.80558304,19790828,1.3,26.48,15.07,20.76,21130.14,1.43
1064,11.77354011,46.80558304,19790829,0.09,24.76,16.94,20.86,19606.47,3.84
1064,11.77354011,46.80558304,19790830,0,24.95,14.83,19.85,20423.77,2.67
1064,11.77354011,46.80558304,19790831,0,24.59,14.82,19.71,19604.4,2.41
1064,11.77354011,46.80558304,19790901,0,25.35,14.15,19.72,21601.04,2.25
1064,11.77354011,46.80558304,19790902,0,25.94,12.72,19.34,22605.58,1.03
1064,11.77354011,46.80558304,19790903,0,28.11,14.5,21.28,21587.41,1.2
1064,11.77354011,46.80558304,19790904,0,27.72,15.25,21.48,20738.79,1.24
1064,11.77354011,46.80558304,19790905,0.72,21.5,14.22,17.87,13301.48,2.19
1064,11.77354011,46.80558304,19790906,0.43,22.91,13.51,18.2,17260.62,1.96
1064,11.77354011,46.80558304,19790907,0,25.07,13.41,19.23,20508.78,1.81
1064,11.77354011,46.80558304,19790908,0,26.91,13.55,20.24,21305.25,1.1
1064,11.77354011,46.80558304,19790909,0,27.21,15.04,21.11,20281.6,0.79
1064,11.77354011,46.80558304,19790910,0,27.97,15.53,21.79,20233.06,1.21
1064,11.77354011,46.80558304,19790911,0,27.73,16.02,21.86,19344.04,1.04
1064,11.77354011,46.80558304,19790912,0.1,28.21,16.45,22.34,19068.52,1.01
1064,11.77354011,46.80558304,19790913,0,27.82,15.42,21.6,19157.81,0.89
1064,11.77354011,46.80558304,19790914,0,27.47,17.05,22.28,17924.32,0.9
1064,11.77354011,46.80558304,19790915,0,28.62,15.06,21.83,19602.78,1.12
1064,11.77354011,46.80558304,19790916,0.35,22.14,13.26,17.72,11046.28,2.48
1064,11.77354011,46.80558304,19790917,0.07,22.62,11.09,16.87,19901.76,1.54
1064,11.77354011,46.80558304,19790918,0,24.55,9.91,17.23,20059.71,1
1064,11.77354011,46.80558304,19790919,0,26.63,13.09,19.84,19239.78,0.79
1064,11.77354011,46.80558304,19790920,0,26.24,14.03,20.14,18807.07,1.01
1064,11.77354011,46.80558304,19790921,0.3,27.41,14.75,21.06,17016.65,2.2
1064,11.77354011,46.80558304,19790922,0.08,27.32,17.94,22.67,15762.66,2.3
1064,11.77354011,46.80558304,19790923,9.31,25.84,17.23,21.53,13732.2,2.01
1064,11.77354011,46.80558304,19790924,0.32,25.35,16.16,20.74,14959.55,4.5
1064,11.77354011,46.80558304,19790925,0.46,24.59,14.62,19.61,14200.51,2.6
1064,11.77354011,46.80558304,19790926,7.92,22.7,13.32,17.99,14522.77,0.99
1064,11.77354011,46.80558304,19790927,0,22.52,14.28,18.41,13872.76,2.17
1064,11.77354011,46.80558304,19790928,0,22.13,14.26,18.18,13664.78,1.92
1064,11.77354011,46.80558304,19790929,0,23.57,14.12,18.85,14646.22,2.74
1064,11.77354011,46.80558304,19790930,0,23.88,14.66,19.25,14174.27,3.19
1064,11.77354011,46.80558304,19791001,0.31,23.66,16.82,20.2,10979.42,2.28
1064,11.77354011,46.80558304,19791002,0.56,22.96,15.66,19.31,12067.27,2.59
1064,11.77354011,46.80558304,19791003,0,21.24,12.56,16.88,13343.06,2.8
1064,11.77354011,46.80558304,19791004,0,20.89,11.76,16.31,14646.74,1.45
1064,11.77354011,46.80558304,19791005,23.59,22.89,10.92,16.91,13434.14,1.61
1064,11.77354011,46.80558304,19791006,2.25,22.45,15.52,18.97,10916.98,2.35
1064,11.77354011,46.80558304,19791007,0.2,21.6,13.02,17.3,13019.53,2.55
1064,11.77354011,46.80558304,19791008,0,20.45,12.05,16.26,11463.63,1.96
1064,11.77354011,46.80558304,19791009,0,19.94,10.98,15.45,12279.99,1.02
1064,11.77354011,46.80558304,19791010,0,20.89,10.16,15.52,13954.06,0.71
1064,11.77354011,46.80558304,19791011,6.68,21.2,10.63,15.91,12082.92,1.72
1064,11.77354011,46.80558304,19791012,7.44,20.66,14.84,17.77,7362.68,2.28
1064,11.77354011,46.80558304,19791013,0.23,25.45,15.51,20.49,13598.95,2.34
1064,11.77354011,46.80558304,19791014,0,25.19,13.26,19.23,14100.49,1.99
1064,11.77354011,46.80558304,19791015,0,27.15,16.6,21.91,12582,3.28
1064,11.77354011,46.80558304,19791016,0,26.69,14.41,20.57,13260.85,1.57
1064,11.77354011,46.80558304,19791017,0.73,28.85,15.17,22.01,12758.07,1.5
1064,11.77354011,46.80558304,19791018,14.25,22.74,15.5,19.14,7279.89,2.08
1064,11.77354011,46.80558304,19791019,0.17,18.66,10.16,14.44,8594.59,3.95
1064,11.77354011,46.80558304,19791020,0,17.14,8.75,12.94,11566.04,4.15
1064,11.77354011,46.80558304,19791021,0,18.34,8.23,13.29,12405.22,2.7
1064,11.77354011,46.80558304,19791022,0,20.68,8.42,14.57,13590.39,0.81
1064,11.77354011,46.80558304,19791023,1.82,19.67,11.09,15.38,9042.04,0.55
1064,11.77354011,46.80558304,19791024,1.17,16.68,12.48,14.57,5775.72,1.64
1064,11.77354011,46.80558304,19791025,0.03,14.97,10.76,12.84,5380.85,1.85
1064,11.77354011,46.80558304,19791026,0.5,15.99,10.62,13.32,7251.73,1.1
1064,11.77354011,46.80558304,19791027,0.92,17.37,11.55,14.45,6784.33,1.57
1064,11.77354011,46.80558304,19791028,6.43,18,12.24,15.11,6255.07,1.78
1064,11.77354011,46.80558304,19791029,29.88,19.13,12.49,15.81,6882.62,1.16
1064,11.77354011,46.80558304,19791030,3.86,18.05,12.32,15.18,7343.45,1.79
1064,11.77354011,46.80558304,19791031,2.76,15.33,10.77,13.05,5387.31,3.57
1064,11.77354011,46.80558304,19791101,0,15.21,9.03,12.1,8380.02,3.6
1064,11.77354011,46.80558304,19791102,0.14,16.83,7.1,11.99,9930.82,1.79
1064,11.77354011,46.80558304,19791103,3.91,13.75,9.39,11.54,4354.39,3.16
1064,11.77354011,46.80558304,19791104,0.9,13.33,9.92,11.6,5393.87,4
1064,11.77354011,46.80558304,19791105,2.23,15.73,9.38,12.58,8579.99,2.16
1064,11.77354011,46.80558304,19791106,0.1,14.35,6.04,10.19,9290.55,5.67
1064,11.77354011,46.80558304,19791107,0.02,21.52,5.67,13.57,11796.05,0.74
1064,11.77354011,46.80558304,19791108,0.02,21.16,8,14.58,10609.4,1.38
1064,11.77354011,46.80558304,19791109,0,20.21,8.77,14.48,9325.98,1.87
1064,11.77354011,46.80558304,19791110,0.58,18.21,13.11,15.67,7191.13,3.43
1064,11.77354011,46.80558304,19791111,3.07,16.37,8.47,12.43,7412.54,4.55
1064,11.77354011,46.80558304,19791112,0.73,12.16,4.88,8.53,6574.46,4.49
1064,11.77354011,46.80558304,19791113,0.7,16.35,2.93,9.65,9664.83,1.98
1064,11.77354011,46.80558304,19791114,1.07,17.49,9.45,13.48,7513.21,3.93
1064,11.77354011,46.80558304,19791115,7.79,18.27,10.09,14.17,6054.37,5.41
1064,11.77354011,46.80558304,19791116,1.3,15.67,8.19,11.93,6062.55,3.36
